Nome Empresa;Código;Denominação;Natureza;Nome Natureza;Ref. salarial inicial (Plano de Cargos);Providos;Cargos<br>Vagos;Total;Providos;Empregos<br>Vagos;Total;Providos;Comissão<br>Vagos;Total;Providos;Contratos<br>Vagos;Total
PREFEITURA MUNICIPAL DE PADRE MARCOS;0095;DIRETORA DE SERVIÇOS PÚBLICOS;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0096;DIRETOR ADMINISTRATIVO;2;Comissão;;0;0;0;0;0;0;7;-7;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0097;COORDENADOR DE CEMITÉRIO PÚBLICO;2;Comissão;;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0098;DIRETOR DE OBRAS E INFRAESTRUTURA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0099;COORDENADOR DE DESENVOLVIMENTO RURAL E AGRICULTURA FAMILIAR;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0100;COORDENADOR DOS SERVIÇOS DA PROTEÇÃO SOCIAL BÁSICA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0101;COOR. DE SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VINCULOS;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0102;COORDENADORA DE POLÍTICA PARA CRIANÇAS E ADOLESCENTES;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0103;COORDENADOR(A) DA SALA DE VACINAÇÃO;2;Comissão;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0104; ASSESSORA TÉCNICA DO HOSPITAL MUNICIPAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0105;COORDENADOR DE MOTORISTAS E OPERAÇÕES;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0106;DIRETORA ADMINISTRATIVA E APOIO GOVERNAMENTAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0107;DIRETORA DE ALMOXADIFADO E CONTROLE E PATRIMÔNIO;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0108;CHEFE DE DEPARTAMENTO, ACOMPANHAMENTO E FISCALIZAÇÃO;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0109;AUXILIAR DE EQUIPE DO APOIO ADMINISTRATIVO;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0110;DIRETOR DE ARQUIVO E PROTOCOLO;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0111;DIRETOR DE INFORMATICA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0113;COORDENADOR(A) DE UNIDADE BÁSICA DE SAÚDE;2;Comissão;;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0114;COORDENADOR(A) DE ASSISTÊNCIA FARMACÊUTICA;2;Comissão;;0;0;0;0;0;0;2;-2;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0115;COORDENADOR(A) DA ATEÇÃO BÁSICA DE SAÚDE;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0116;COOR. DA SALA DA VACINAÇÃO;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0117;COORDENADOR(A) DA VIGILÂNCIA SANITÁRIA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0118;COORDENADOR(A)  DE MANUTENÇÃO PREDIAL DA SAÚDE;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0119;COORDENADOR(A) DE MANUTENÇÃO E SERVIÇO;2;Comissão;;0;0;0;0;0;0;3;-3;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0120;COORDENADOR(A) DE TRANSPORTE DA SAÚDE;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0121;COOR.(A) DE CONTROLE DE DADOS, ESTATÍSTICA E INFORMATIZAÇÃO;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0122;COOR. DO CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL / CRAS;2;Comissão;;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0123;COOR. PEDAGÓGICA DE EDUCAÇÃO DE JOVENS E ADULTO / EJA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0124;COOR. DE SAUDE BUCAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0125;COORDENADOR DE MEIO AMBIENTE E EDUCAÇÃO AMBIENTAL;2;Comissão;;0;0;0;0;0;0;2;-2;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0126;DIRETOR(A) DE ALMOXARIFADO ESCOLAR;2;Comissão;;0;0;0;0;0;0;12;-12;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0127;COORDENADOR DE TRANSPORTE ESCOLAR;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0128;ASSESSOR(A) TÉCNICO(A) ESCOLAR;2;Comissão;;0;0;0;0;0;0;21;-21;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0129;COORDENADOR(A) DE BUSCA ATIVA ESCOLAR;2;Comissão;;0;0;0;0;0;0;7;-7;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0130;DIRETOR(A) DE EDUCAÇÃO ESPECIAL E INCLUSIVA ESCOLAR;2;Comissão;;0;0;0;0;0;0;9;-9;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0131;COORDENADOR DE INFRAESTRUTURA, OBRA E MANUTENÇÃO ESCOLAR;2;Comissão;;0;0;0;0;0;0;8;-8;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0132;COOR. DE TECNOLOGIA DA INFORMAÇÃO E INTELIGÊNCIA ARTIFICIAL;2;Comissão;;0;0;0;0;0;0;3;-3;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0133;DIRETOR(A) DE TOMBAMENTO E PATRIMÔNIO;2;Comissão;;0;0;0;0;0;0;3;-3;0;0;0;0
