CÛdigo;EspecificaÁ„o;Cod. AplicaÁ„o;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. PerÌodo;Arrec. Total
1240.00.0.0.00;CONTRIBUI«√O PARA O CUSTEIO DO SERVI«O DE ILUMINA«√O P⁄BLICA;;;;594.700,00;594.700,00;369.636,53;369.636,53
1241.00.0.0.00;CONTRIBUI«√O PARA O CUSTEIO DO SERVI«O DE ILUMINA«√O P⁄BLICA;;;;594.700,00;594.700,00;369.636,53;369.636,53
1241.50.0.1.00;CONTRIB.SERV.ILUMINA«√O P⁄BLICA-PRINCIPAL;;;;594.700,00;594.700,00;369.636,53;369.636,53
1241.50.0.1.00;CONTRIB.SERV.ILUMINA«√O P⁄BLICA-PRINCIPAL;999.000;1.751 0;1.751.00 9999;594.700,00;594.700,00;369.636,53;369.636,53
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;271.934,90;271.934,90;435.953,14;435.953,14
1310.00.0.0.00;EXPLORA«√O DO PATRIM‘NIO IMOBILI¡RIO DO ESTADO;;;;0,00;0,00;372.537,00;372.537,00
1311.00.0.0.00;EXPLORA«√O DO PATRIM‘NIO IMOBILI¡RIO DO ESTADO;;;;0,00;0,00;372.537,00;372.537,00
1311.02.0.1.00;CONC.PERM.AUT.CESS√O DIR.USO BENS IMOV.P⁄BL.-PRINCIPAL;;;;0,00;0,00;372.537,00;372.537,00
1311.02.0.1.00;CONC.PERM.AUT.CESS√O DIR.USO BENS IMOV.P⁄BL.-PRINCIPAL;999.000;1.500 0;1.500.00 9999;0,00;0,00;372.537,00;372.537,00
1320.00.0.0.00;VALORES MOBILI¡RIOS;;;;271.934,90;271.934,90;63.416,14;63.416,14
1321.00.0.0.00;JUROS E CORRE«’ES MONET¡RIAS;;;;271.934,90;271.934,90;63.416,14;63.416,14
1321.01.0.1.00;REMUNERA«√O DE DEP”SITOS BANC¡RIOS - PRINCIPAL;;;;271.934,90;271.934,90;63.416,14;63.416,14
1321.01.0.1.00;REMUNERA«√O DE DEP”SITOS BANC¡RIOS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;160.044,90;160.044,90;33.456,04;33.456,04
1321.01.0.1.01;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - CONV NIO FED;999.000;1.700 0;1.700.05 9999;21.500,00;21.500,00;15.442,68;15.442,68
1321.01.0.1.02;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - QSE;999.000;1.550 0;1.550.01 9999;45.000,00;45.000,00;2.337,31;2.337,31
1321.01.0.1.03;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - PNAE;999.000;1.552 0;1.552.01 9999;1.050,00;1.050,00;1.898,46;1.898,46
1321.01.0.1.04;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - PNATE;999.000;1.553 0;1.553.01 9999;800,00;800,00;370,00;370,00
1321.01.0.1.05;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - FNDE;999.000;1.569 0;1.569.01 9999;8.700,00;8.700,00;5.671,33;5.671,33
1321.01.0.1.06;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - EDUC ESTADO;999.000;1.576 0;1.576.01 9999;26.000,00;26.000,00;2.625,80;2.625,80
1321.01.0.1.07;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - FEP;999.000;1.720 0;1.720.00 9999;8.100,00;8.100,00;1.374,89;1.374,89
1321.01.0.1.08;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - CIDE;999.000;1.750 0;1.750.00 9999;130,00;130,00;239,45;239,45
1321.01.0.1.13;REMUNERA«√O DE DEP”SITOS BANC¡RIOS - PDDE;999.000;1.551 0;1.551.01 9999;610,00;610,00;0,18;0,18
1700.00.0.0.00;TRANSFER NCIAS CORRENTES;;;;23.542.359,90;24.053.724,20;22.429.580,65;22.429.580,65
1710.00.0.0.00;TRANSFER NCIAS DA UNI√O E DE SUAS ENTIDADES;;;;19.085.384,90;19.537.385,80;17.474.913,89;17.474.913,89
1711.00.0.0.00;TRANSFER NCIAS DECORRENTES DE PARTICIPA«√O NA RECEITA DA UNI;;;;17.274.042,90;17.274.042,90;15.216.805,71;15.216.805,71
1711.51.1.1.00;COTA-PARTE DO FPM- COTA MENSAL - PRINCIPAL;;;;15.923.525,00;15.923.525,00;13.792.111,47;13.792.111,47
1711.51.1.1.00;COTA-PARTE DO FPM- COTA MENSAL - PRINCIPAL;999.000;1.500 0;1.500.00 9999;15.923.525,00;15.923.525,00;13.792.111,47;13.792.111,47
1711.51.2.1.00;COTA-PARTE DO FPM- COTAS EXTRAORDINARIAS - PRINCIPAL;;;;1.349.767,90;1.349.767,90;1.423.832,47;1.423.832,47
1711.51.2.1.00;COTA-PARTE DO FPM- COTAS EXTRAORDINARIAS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;1.349.767,90;1.349.767,90;1.423.832,47;1.423.832,47
1711.52.0.1.00;COTA-PARTE DO IMP. PROPRIED.TERRIT.RURAL - PRINCIPAL;;;;750,00;750,00;861,77;861,77
1711.52.0.1.00;COTA-PARTE DO IMP. PROPRIED.TERRIT.RURAL - PRINCIPAL;999.000;1.500 0;1.500.00 9999;750,00;750,00;861,77;861,77
1712.00.0.0.00;TRANSF.COMPENS.FINANC.EXPL.RECURSOS NATURAIS;;;;253.700,00;253.700,00;274.394,13;274.394,13
1712.51.0.1.00; CFEM - PRINCIPAL;;;;0,00;0,00;75,60;75,60
1712.51.0.1.00; CFEM - PRINCIPAL;999.000;1.708 0;1.708.00 9999;0,00;0,00;75,60;75,60
1712.52.4.1.00;COTA - PARTE FEPñ PRINCIPAL;;;;253.700,00;253.700,00;274.318,53;274.318,53
1712.52.4.1.00;COTA - PARTE FEPñ PRINCIPAL;999.000;1.720 0;1.720.00 9999;253.700,00;253.700,00;274.318,53;274.318,53
1714.00.0.0.00;TRANSF.RECURSOS FUNDO NAC.DESENVOLVIMENTO EDUCA«√O-FNDE††;;;;957.642,00;1.159.642,90;1.532.352,25;1.532.352,25
1714.50.0.1.00;TRANSF.SAL¡RIO-EDUCA«√Oñ PRINCIPAL;;;;156.532,00;322.400,19;702.835,24;702.835,24
1714.50.0.1.00;TRANSF.SAL¡RIO-EDUCA«√Oñ PRINCIPAL;999.000;1.550 0;1.550.01 9999;156.532,00;322.400,19;702.835,24;702.835,24
1714.52.0.1.00;TRANSF.PROGR.NAC. ALIMEN.ESCOLA-PNAE-PRINCIPAL;;;;317.610,00;317.610,00;329.472,00;329.472,00
1714.52.0.1.00;TRANSF.PROGR.NAC. ALIMEN.ESCOLA-PNAE-PRINCIPAL;999.000;1.552 0;1.552.01 9999;317.610,00;317.610,00;329.472,00;329.472,00
1714.53.0.1.00;TRANSF.PROG.NAC.TRANSP.ESCOLAR-PNATE-PRINCIPAL;;;;234.200,00;234.200,00;67.830,01;67.830,01
1714.53.0.1.00;TRANSF.PROG.NAC.TRANSP.ESCOLAR-PNATE-PRINCIPAL;999.000;1.553 0;1.553.01 9999;234.200,00;234.200,00;67.830,01;67.830,01
1714.99.0.1.00;OUTRAS TRANSF. FNDE- PRINCIPAL;;;;249.300,00;285.432,71;432.215,00;432.215,00
1714.99.0.1.00;OUTRAS TRANSF. FNDE- PRINCIPAL;999.000;1.569 0;1.569.01 9999;249.300,00;285.432,71;432.215,00;432.215,00
1717.00.0.0.00;TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDADES;;;;300.000,00;300.000,00;180.000,00;180.000,00
1717.99.0.1.00;OUTRAS TRANSF.CONV.UNI√O ENTIDADES-PRINCIPAL;;;;300.000,00;300.000,00;180.000,00;180.000,00
1717.99.0.1.00;OUTRAS TRANSF.CONV.UNI√O ENTIDADES-PRINCIPAL;999.000;1.700 0;1.700.05 9999;300.000,00;300.000,00;180.000,00;180.000,00
1719.00.0.0.00;OUTRAS TRANSFER NCIAS RECURSOS UNI√O E DE SUAS ENTIDADES;;;;300.000,00;550.000,00;271.361,80;271.361,80
1719.57.0.1.00;TRANSF.ESPECIAL DA UNI√O-PRINCIPAL;;;;0,00;250.000,00;250.000,00;250.000,00
1719.57.0.1.00;TRANSF.ESPECIAL DA UNI√O-PRINCIPAL;999.000;1.706 0;1.706.05 9999;0,00;250.000,00;250.000,00;250.000,00
1719.99.0.1.00;OUTRAS TRANSF.RECUR.UNI√O ENTID.-PRINCIPAL;;;;300.000,00;300.000,00;21.361,80;21.361,80
1719.99.0.1.00;OUTRAS TRANSF.RECUR.UNI√O ENTID.-PRINCIPAL;999.000;1.500 0;1.500.00 9999;300.000,00;300.000,00;21.361,80;21.361,80
1720.00.0.0.00;TRANSFER NCIAS ESTADOS  DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;4.456.975,00;4.516.338,40;4.954.666,76;4.954.666,76
1721.00.0.0.00;PARTICIPA«√O NA RECEITA DOS ESTADOS E DISTRITO FEDERAL;;;;4.023.975,00;4.023.975,00;4.438.929,16;4.438.929,16
1721.50.0.1.00;COTA-PARTE DO ICMS ñ PRINCIPAL;;;;3.211.275,00;3.211.275,00;3.869.400,19;3.869.400,19
1721.50.0.1.00;COTA-PARTE DO ICMS ñ PRINCIPAL;999.000;1.500 0;1.500.00 9999;3.211.275,00;3.211.275,00;3.869.400,19;3.869.400,19
1721.51.0.1.00;COTA-PARTE DO IPVA ñ PRINCIPAL;;;;798.700,00;798.700,00;553.104,50;553.104,50
1721.51.0.1.00;COTA-PARTE DO IPVA ñ PRINCIPAL;999.000;1.500 0;1.500.00 9999;798.700,00;798.700,00;553.104,50;553.104,50
1721.52.0.1.00;COTA-PARTE DO IPI ñ MUNICÕPIOS ñ PRINCIPAL;;;;4.000,00;4.000,00;363,73;363,73
1721.52.0.1.00;COTA-PARTE DO IPI ñ MUNICÕPIOS ñ PRINCIPAL;999.000;1.500 0;1.500.00 9999;4.000,00;4.000,00;363,73;363,73
1721.53.0.1.00;COTA-PARTE-CIDE-PRINCIPAL;;;;10.000,00;10.000,00;16.060,74;16.060,74
1721.53.0.1.00;COTA-PARTE-CIDE-PRINCIPAL;999.000;1.750 0;1.750.00 9999;10.000,00;10.000,00;16.060,74;16.060,74
1729.00.0.0.00;OUTRAS TRANSFER NCIAS DOS ESTADOS E DISTRITO FEDERAL;;;;433.000,00;492.363,40;515.737,60;515.737,60
1729.52.0.1.00;TRANSF.RECURSOS PROGR.EDUCA«√O-PRINCIPAL;;;;433.000,00;492.363,40;515.737,60;515.737,60
1729.52.0.1.00;TRANSF.RECURSOS PROGR.EDUCA«√O-PRINCIPAL;999.000;1.576 0;1.576.01 9999;433.000,00;492.363,40;515.737,60;515.737,60
1900.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;25.709,00;25.709,00;288,87;288,87
1920.00.0.0.00;INDENIZA«’ES, RESTITUI«’ES E RESSARCIMENTOS;;;;10.519,00;10.519,00;288,87;288,87
1922.00.0.0.00;RESTITUI«’ES;;;;10.519,00;10.519,00;288,87;288,87
1922.99.0.1.00;OUTRAS RESTITUI«’ES ñ PRINCIPAL;;;;10.519,00;10.519,00;288,87;288,87
1922.99.0.1.00;OUTRAS RESTITUI«’ES ñ PRINCIPAL;999.000;1.500 0;1.500.00 9999;10.519,00;10.519,00;288,87;288,87
1990.00.0.0.00;DEMAIS RECEITAS CORRENTES;;;;15.190,00;15.190,00;0,00;0,00
1999.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;15.190,00;15.190,00;0,00;0,00
1999.99.2.1.00;OUTRAS REC.N√O ARREC.N√O PROJ.RFB-PRIM¡RIAS-PRINCIPAL;;;;15.190,00;15.190,00;0,00;0,00
1999.99.2.1.00;OUTRAS REC.N√O ARREC.N√O PROJ.RFB-PRIM¡RIAS-PRINCIPAL;999.000;1.500 0;1.500.00 9999;15.190,00;15.190,00;0,00;0,00
2000.00.0.0.00;RECEITAS DE CAPITAL;;;;2.706.500,00;2.732.464,52;228.000,95;228.000,95
2400.00.0.0.00;TRANSFER NCIAS DE CAPITAL;;;;2.706.500,00;2.732.464,52;228.000,95;228.000,95
2410.00.0.0.00;TRANSFER NCIAS DA UNI√O E DE SUAS ENTIDADES;;;;2.676.500,00;2.702.464,52;228.000,95;228.000,95
2414.00.0.0.00;TRANSFER NCIAS DE CONV NIOS DA UNI√O E DE SUAS ENTIDADES†;;;;2.676.500,00;2.702.464,52;228.000,95;228.000,95
2414.51.0.1.00;TRANSF. CONV.UNI√O PROGR.EDUCA«√O-PRINCIPAL;;;;700.000,00;700.000,00;0,00;0,00
2414.51.0.1.00;TRANSF. CONV.UNI√O PROGR.EDUCA«√O-PRINCIPAL;999.000;1.570 0;1.570.01 9999;700.000,00;700.000,00;0,00;0,00
2414.99.0.1.00;OUTRAS TRANSF.CONV.UNI√O SUAS ENTID.-PRINCIPAL;;;;1.976.500,00;2.002.464,52;228.000,95;228.000,95
2414.99.0.1.00;OUTRAS TRANSF.CONV.UNI√O SUAS ENTID.-PRINCIPAL;999.000;1.700 0;1.700.05 9999;1.976.500,00;2.002.464,52;228.000,95;228.000,95
2420.00.0.0.00;TRANSF.ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;30.000,00;30.000,00;0,00;0,00
2422.00.0.0.00;TRANSF.CONV NIOS ESTADOS E DF E DE SUAS ENTIDADES;;;;30.000,00;30.000,00;0,00;0,00
2422.99.0.1.00;OUTRAS TRANSF.CONV.EST/DFSUA ENTID.-PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
2422.99.0.1.00;OUTRAS TRANSF.CONV.EST/DFSUA ENTID.-PRINCIPAL;999.000;1.701 0;1.701.05 9999;30.000,00;30.000,00;0,00;0,00
9000.00.0.0.00;(R) DEDUCOES DA RECEITA;;;;-3.987.650,00;-3.987.650,00;-3.643.167,96;-3.643.167,96
9500.00.0.0.00;(R) DEDU«’ES DO FUNDEB;;;;-3.987.650,00;-3.987.650,00;-3.643.167,96;-3.643.167,96
9510.00.0.0.00;(R) DEDU«’ES DO FUNDEB;;;;-3.987.650,00;-3.987.650,00;-3.643.167,96;-3.643.167,96
9510.00.0.0.00;(R) DEDU«’ES DO FUNDEB;;;;-3.987.650,00;-3.987.650,00;-3.643.167,96;-3.643.167,96
9510.00.0.0.00;(R) DEDU«’ES DO FUNDEB;999.000;1.500 0;1.500.00 9999;-3.987.650,00;-3.987.650,00;-3.643.167,96;-3.643.167,96
;;;;;25.155.060,50;25.692.389,32;21.377.623,04;21.377.623,04
