CÛdigo;EspecificaÁ„o;Cod. AplicaÁ„o;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. PerÌodo;Arrec. Total
1114.51.1.1.00;IMPOSTO SOBRE SERVI«OS DE QUALQUER NATUREZA - ISSQN - PRINCI;999.000;1.500 0;1.500.00 9999;243.700,00;178.782,71;190.117,22;190.117,22
1114.51.1.1.01;IMPOSTO SOBRE SERVIÁOS DE QUALQUER NATUREZA - SIMPLES;999.000;1.500 0;1.500.00 9999;70.000,00;58.348,28;58.348,28;58.348,28
1120.00.0.0.00;TAXAS;;;;45.107,00;84.508,92;84.508,92;84.508,92
1121.00.0.0.00;TAXAS PELO EXERCÕCIO DO PODER DE POLÕCIA;;;;43.107,00;52.592,90;52.592,90;52.592,90
1121.01.0.1.00;TAXAS DE INSPE«√O, CONTROLE E FISCALIZA«√O - PRINCIPAL;;;;40.107,00;51.748,50;51.748,50;51.748,50
1121.01.0.1.00;TAXAS DE INSPE«√O, CONTROLE E FISCALIZA«√O - PRINCIPAL;999.000;1.500 0;1.500.00 9999;40.107,00;51.748,50;51.748,50;51.748,50
1121.50.0.1.00;TAXA DE FISCALIZA«√O DE VIGIL¬NCIA SANIT¡RIA - PRINCIPAL;;;;3.000,00;844,40;844,40;844,40
1121.50.0.1.00;TAXA DE FISCALIZA«√O DE VIGIL¬NCIA SANIT¡RIA - PRINCIPAL;999.000;1.500 0;1.500.00 9999;3.000,00;844,40;844,40;844,40
1122.00.0.0.00;TAXAS PELA PRESTA«√O DE SERVI«OS;;;;2.000,00;31.916,02;31.916,02;31.916,02
1122.01.0.1.00;TAXAS PELA PRESTA«√O DE SERVI«OS EM GERAL - PRINCIPAL;;;;2.000,00;31.916,02;31.916,02;31.916,02
1122.01.0.1.00;TAXAS PELA PRESTA«√O DE SERVI«OS EM GERAL - PRINCIPAL;999.000;1.500 0;1.500.00 9999;2.000,00;31.916,02;31.916,02;31.916,02
1200.00.0.0.00;CONTRIBUI«’ES;;;;280.000,00;326.283,20;326.283,20;326.283,20
1240.00.0.0.00;CONTRIBUI«√O PARA O CUSTEIO DO SERVI«O DE ILUMINA«√O P⁄BLICA;;;;280.000,00;326.283,20;326.283,20;326.283,20
1241.00.0.0.00;CONTRIBUI«√O PARA O CUSTEIO DO SERVI«O DE ILUMINA«√O P⁄BLICA;;;;280.000,00;326.283,20;326.283,20;326.283,20
1241.50.0.1.00;CONTRIBUI«√O PARA O CUSTEIO DO SERVI«O DE ILUMINA«√O P⁄BLICA;;;;280.000,00;326.283,20;326.283,20;326.283,20
1241.50.0.1.00;CONTRIBUI«√O PARA O CUSTEIO DO SERVI«O DE ILUMINA«√O P⁄BLICA;999.000;1.751 0;1.751.00 9999;280.000,00;326.283,20;326.283,20;326.283,20
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;63.830,00;84.179,91;84.179,91;84.179,91
1320.00.0.0.00;VALORES MOBILI¡RIOS;;;;63.830,00;84.179,91;84.179,91;84.179,91
1321.00.0.0.00;JUROS E CORRE«’ES MONET¡RIAS;;;;63.830,00;84.179,91;84.179,91;84.179,91
1321.01.0.1.00;REMUNERA«√O DE DEP”SITOS BANC¡RIOS - PRINCIPAL;;;;63.830,00;84.179,91;84.179,91;84.179,91
1321.01.0.1.00;REMUNERA«√O DE DEP”SITOS BANC¡RIOS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;51.000,00;27.307,19;27.307,19;27.307,19
1321.01.0.1.01;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - CONV NIO FED;999.000;1.700 0;1.700.05 9999;3.000,00;44.952,60;44.952,60;44.952,60
1321.01.0.1.02;REMUNERAÁ„O DE DEPÛSITOS BANC·RIOS - QSE;999.000;1.550 0;1.550.01 9999;460,00;461,53;461,53;461,53
