Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
7215.50.2.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL - PENSIONISTAS - MULT;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7215.51.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PARCELAMENTOS;;;;150.000,00;150.000,00;82.167,45;82.167,45
7215.51.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PARCELAMENTOS;999.000;1.800 1111;1.800.03 1111;150.000,00;150.000,00;82.167,45;82.167,45
7215.51.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PARCELAMENTOS;;;;50.000,00;50.000,00;0,00;0,00
7215.51.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PARCELAMENTOS;999.000;1.800 1111;1.800.03 1111;50.000,00;50.000,00;0,00;0,00
7900.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;50.000,00;50.000,00;0,00;0,00
7990.00.0.0.00;DEMAIS RECEITAS CORRENTES;;;;50.000,00;50.000,00;0,00;0,00
7999.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;50.000,00;50.000,00;0,00;0,00
7999.01.0.1.00;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO R;;;;50.000,00;50.000,00;0,00;0,00
7999.01.0.1.00;APORTES PERIÓDICOS PARA AMORTIZAÇÃO DE DÉFICIT ATUARIAL DO R;999.000;1.800 1111;1.800.03 1111;50.000,00;50.000,00;0,00;0,00
;;;;;2.325.000,00;3.187.672,32;3.040.082,59;3.040.082,59
