Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
7215.50.1.1.00;CONTRIB.PATRONAL-SERV.CIVIL-INAT.-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7215.50.1.2.00;CONTRIB.PATRONAL-SERV.CIVIL-INAT.-MULTAS JUROS;;;;15.000,00;15.000,00;0,00;0,00
7215.50.1.2.00;CONTRIB.PATRONAL-SERV.CIVIL-INAT.-MULTAS JUROS;999.000;1.800 1111;1.800.03 1111;15.000,00;15.000,00;0,00;0,00
7215.50.2.1.00;CONTRIB.PATR.-SERV.CIVIL-PENS.-PRINCIPAL;;;;75.000,00;75.000,00;0,00;0,00
7215.50.2.1.00;CONTRIB.PATR.-SERV.CIVIL-PENS.-PRINCIPAL;999.000;1.802 0;1.802.03 9999;45.000,00;45.000,00;0,00;0,00
7215.50.2.1.00;CONTRIB.PATR.-SERV.CIVIL-PENS.-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7215.50.2.2.00;CONTRIB.PATR.-SERV.CIVIL-PENS.-MULTAS JUROS;;;;30.000,00;30.000,00;0,00;0,00
7215.50.2.2.00;CONTRIB.PATR.-SERV.CIVIL-PENS.-MULTAS JUROS;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7215.51.1.1.00;CONTRIB.PATR.SERV.CIVIL ATIVO-PARC.-PRINCIPAL;;;;250.000,00;250.000,00;0,00;0,00
7215.51.1.1.00;CONTRIB.PATR.SERV.CIVIL ATIVO-PARC.-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;250.000,00;250.000,00;0,00;0,00
7215.51.1.2.00;CONTRIB.PATR.SERV.CIVIL ATIVO-PARC.-MULTAS JUROS;;;;50.000,00;50.000,00;0,00;0,00
7215.51.1.2.00;CONTRIB.PATR.SERV.CIVIL ATIVO-PARC.-MULTAS JUROS;999.000;1.800 1111;1.800.03 9999;50.000,00;50.000,00;0,00;0,00
7900.00.0.0.00;OUTRAS RECEITAS CORRENTES – INTRA OFSS;;;;170.000,00;170.000,00;0,00;0,00
7990.00.0.0.00;DEMAIS RECEITAS CORRENTES – INTRA;;;;170.000,00;170.000,00;0,00;0,00
7999.00.0.0.00;OUTRAS RECEITAS CORRENTES – INTRA;;;;170.000,00;170.000,00;0,00;0,00
7999.01.0.1.00;APORTES PERIÓD.AMORTIZ.DÉFICIT ATUARIAL RPPS-PRINCIPAL;;;;170.000,00;170.000,00;0,00;0,00
7999.01.0.1.00;APORTES PERIÓD.AMORTIZ.DÉFICIT ATUARIAL RPPS-PRINCIPAL;999.000;1.800 1111;1.800.03 9999;170.000,00;170.000,00;0,00;0,00
;;;;;3.810.000,00;3.810.000,00;3.536.813,60;3.536.813,60
